frame,left_hip_x,left_hip_y,left_hip_z,left_hip_visibility,right_hip_x,right_hip_y,right_hip_z,right_hip_visibility,left_knee_x,left_knee_y,left_knee_z,left_knee_visibility,right_knee_x,right_knee_y,right_knee_z,right_knee_visibility,left_ankle_x,left_ankle_y,left_ankle_z,left_ankle_visibility,right_ankle_x,right_ankle_y,right_ankle_z,right_ankle_visibility,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_shoulder_visibility,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_shoulder_visibility
10,0.45847734427889675,0.4478134633977057,0.0,0.99,0.5584773442788967,0.4478134633977057,0.0,0.99,0.5602054756256573,0.6330453114422065,0.0,0.99,0.4567492129321362,0.6330453114422065,0.0,0.99,0.5708138937880521,0.88,0.0,0.99,0.4461407947697414,0.88,0.0,0.99,0.4567818754231174,0.21868807803862345,0.0,0.99,0.5567818754231174,0.21868807803862345,0.0,0.99
11,0.45716456740298317,0.44986689739281116,0.0,0.99,0.5571645674029831,0.44986689739281116,0.0,0.99,0.5431393762387811,0.6356708651940337,0.0,0.99,0.4711897585671853,0.6356708651940337,0.0,0.99,0.5570920066614807,0.88,0.0,0.99,0.45723712814448564,0.88,0.0,0.99,0.4557316539223865,0.21992013843568667,0.0,0.99,0.5557316539223865,0.21992013843568667,0.0,0.99
12,0.45552800065361193,0.45194412087736663,0.0,0.99,0.555528000653612,0.45194412087736663,0.0,0.99,0.5218640084969551,0.6389439986927762,0.0,0.99,0.4891919928102687,0.6389439986927762,0.0,0.99,0.5385302868786054,0.88,0.0,0.99,0.4725257144286184,0.88,0.0,0.99,0.45442240052288957,0.22116647252641997,0.0,0.99,0.5544224005228896,0.22116647252641997,0.0,0.99
13,0.4536416057525282,0.45367387075431537,0.0,0.99,0.5536416057525283,0.45367387075431537,0.0,0.99,0.4973408747828669,0.6427167884949436,0.0,0.99,0.5099423367221896,0.6427167884949436,0.0,0.99,0.5159675983319137,0.88,0.0,0.99,0.4913156131731428,0.88,0.0,0.99,0.45291328460202257,0.2222043224525892,0.0,0.99,0.5529132846020226,0.2222043224525892,0.0,0.99
14,0.45159063496019075,0.4547469880423419,0.0,0.99,0.5515906349601908,0.4547469880423419,0.0,0.99,0.4706782544824794,0.6468187300796185,0.0,0.99,0.5325030154379021,0.6468187300796185,0.0,0.99,0.4904236215769063,0.88,0.0,0.99,0.5127576483434753,0.88,0.0,0.99,0.4512725079681526,0.22284819282540513,0.0,0.99,0.5512725079681526,0.22284819282540513,0.0,0.99
15,0.44946777825157824,0.4549716740010507,0.0,0.99,0.5494677782515782,0.4549716740010507,0.0,0.99,0.4430811172705168,0.6489355565031565,0.0,0.99,0.5558544392326397,0.6489355565031565,0.0,0.99,0.463052771184052,0.88,0.0,0.99,0.5358827853191044,0.88,0.0,0.99,0.44957422260126256,0.2229830044006304,0.0,0.99,0.5495742226012627,0.2229830044006304,0.0,0.99
16,0.4473689743577248,0.45430777040696907,0.0,0.99,0.5473689743577248,0.45430777040696907,0.0,0.99,0.4157966666504223,0.6447379487154496,0.0,0.99,0.5789412820650274,0.6447379487154496,0.0,0.99,0.43509202402671265,0.88,0.0,0.99,0.5596459246887371,0.88,0.0,0.99,0.44789517948617985,0.2225846622441814,0.0,0.99,0.5478951794861798,0.2225846622441814,0.0,0.99
17,0.4453890749855067,0.45287393705107204,0.0,0.99,0.5453890749855068,0.45287393705107204,0.0,0.99,0.39005797481158766,0.6407781499710135,0.0,0.99,0.6007201751594259,0.6407781499710135,0.0,0.99,0.4078050163127191,0.88,0.0,0.99,0.5829731336582945,0.88,0.0,0.99,0.44631125998840543,0.22172436223064323,0.0,0.99,0.5463112599884055,0.22172436223064323,0.0,0.99
18,0.4436175581635518,0.4509264436204356,0.0,0.99,0.5436175581635518,0.4509264436204356,0.0,0.99,0.36702825612617346,0.6372351163271036,0.0,0.99,0.6202068602009303,0.6372351163271036,0.0,0.99,0.3824249357947716,0.88,0.0,0.99,0.6048101805323322,0.88,0.0,0.99,0.44489404653084147,0.22055586617226133,0.0,0.99,0.5448940465308415,0.22055586617226133,0.0,0.99
19,0.44213448444197356,0.44881336650064446,0.0,0.99,0.5421344844419737,0.44881336650064446,0.0,0.99,0.34774829774565647,0.6342689688839471,0.0,0.99,0.6365206711382907,0.6342689688839471,0.0,0.99,0.3600987900445803,0.88,0.0,0.99,0.6241701788393669,0.88,0.0,0.99,0.44370758755357886,0.21928801990038665,0.0,0.99,0.543707587553579,0.21928801990038665,0.0,0.99
20,0.4410068786982878,0.44691237692526903,0.0,0.99,0.5410068786982879,0.44691237692526903,0.0,0.99,0.33308942307774153,0.6320137573965756,0.0,0.99,0.6489243343188342,0.6320137573965756,0.0,0.99,0.3418355694869186,0.88,0.0,0.99,0.6401781879096571,0.88,0.0,0.99,0.44280550295863025,0.21814742615516142,0.0,0.99,0.5428055029586303,0.21814742615516142,0.0,0.99
21,0.44028570106735293,0.44556323962471717,0.0,0.99,0.540285701067353,0.44556323962471717,0.0,0.99,0.32371411387558774,0.6305714021347059,0.0,0.99,0.6568572882591182,0.6305714021347059,0.0,0.99,0.32846064787301005,0.88,0.0,0.99,0.6521107542616958,0.88,0.0,0.99,0.44222856085388235,0.2173379437748303,0.0,0.99,0.5422285608538824,0.2173379437748303,0.0,0.99
22,0.4400035438887655,0.4450070865216162,0.0,0.99,0.5400035438887655,0.4450070865216162,0.0,0.99,0.3200460705539512,0.630007087777531,0.0,0.99,0.6599610172235798,0.630007087777531,0.0,0.99,0.3205784809827067,0.88,0.0,0.99,0.6594286067948243,0.88,0.0,0.99,0.4420028351110124,0.2170042519129697,0.0,0.99,0.5420028351110124,0.2170042519129697,0.0,0.99
23,0.4401731587540748,0.44534331911273833,0.0,0.99,0.5401731587540748,0.44534331911273833,0.0,0.99,0.3222510638029723,0.6303463175081496,0.0,0.99,0.6580952537051773,0.6303463175081496,0.0,0.99,0.31854528932123005,0.88,0.0,0.99,0.6618010281869195,0.88,0.0,0.99,0.44213852700325984,0.217205991467643,0.0,0.99,0.5421385270032599,0.217205991467643,0.0,0.99
24,0.44078688022129586,0.44651184239432506,0.0,0.99,0.540786880221296,0.44651184239432506,0.0,0.99,0.3302294428768463,0.6315737604425917,0.0,0.99,0.6513443175657455,0.6315737604425917,0.0,0.99,0.3224529593673799,0.88,0.0,0.99,0.6591208010752119,0.88,0.0,0.99,0.4426295041770367,0.21790710543659506,0.0,0.99,0.5426295041770367,0.21790710543659506,0.0,0.99
25,0.4418169722409183,0.44830380566940986,0.0,0.99,0.5418169722409184,0.44830380566940986,0.0,0.99,0.34362063913193797,0.6336339444818366,0.0,0.99,0.6400133053498988,0.6336339444818366,0.0,0.99,0.33212489092764985,0.88,0.0,0.99,0.6515090535541869,0.88,0.0,0.99,0.44345357779273464,0.2189822834016459,0.0,0.99,0.5434535777927347,0.2189822834016459,0.0,0.99
26,0.44321688163730383,0.4503989305277654,0.0,0.99,0.5432168816373039,0.4503989305277654,0.0,0.99,0.36181946128494985,0.6364337632746077,0.0,0.99,0.6246143019896578,0.6364337632746077,0.0,0.99,0.34712397826768854,0.88,0.0,0.99,0.6393097850069192,0.88,0.0,0.99,0.4445735053098431,0.22023935831665925,0.0,0.99,0.5445735053098432,0.22023935831665925,0.0,0.99
27,0.4449233419966116,0.45242275435166324,0.0,0.99,0.5449233419966116,0.45242275435166324,0.0,0.99,0.3840034459559508,0.6398466839932232,0.0,0.99,0.6058432380372725,0.6398466839932232,0.0,0.99,0.3667723643280747,0.88,0.0,0.99,0.6230743196651486,0.88,0.0,0.99,0.4459386735972893,0.22145365261099795,0.0,0.99,0.5459386735972893,0.22145365261099795,0.0,0.99
28,0.4468592328797805,0.45401355818965483,0.0,0.99,0.5468592328797806,0.45401355818965483,0.0,0.99,0.40917002743714664,0.643718465759561,0.0,0.99,0.5845484383224143,0.643718465759561,0.0,0.99,0.39018207526777904,0.88,0.0,0.99,0.603536390491782,0.88,0.0,0.99,0.4474873863038244,0.22240813491379288,0.0,0.99,0.5474873863038244,0.22240813491379288,0.0,0.99
29,0.4489370651435264,0.45488701694908934,0.0,0.99,0.5489370651435264,0.45488701694908934,0.0,0.99,0.4361818468658425,0.6478741302870528,0.0,0.99,0.5616922834212104,0.6478741302870527,0.0,0.99,0.41629515086163976,0.88,0.0,0.99,0.5815789794254131,0.88,0.0,0.99,0.4491496521148211,0.2229322101694536,0.0,0.99,0.5491496521148211,0.2229322101694536,0.0,0.99
30,0.45106293485647364,0.45488701694908934,0.0,0.99,0.5510629348564737,0.45488701694908934,0.0,0.99,0.4638181531341575,0.6478741302870528,0.0,0.99,0.5383077165787898,0.6478741302870527,0.0,0.99,0.44393145712995474,0.88,0.0,0.99,0.5581944125829926,0.88,0.0,0.99,0.4508503478851789,0.2229322101694536,0.0,0.99,0.550850347885179,0.2229322101694536,0.0,0.99
31,0.4531407671202195,0.45401355818965483,0.0,0.99,0.5531407671202195,0.45401355818965483,0.0,0.99,0.4908299725628533,0.643718465759561,0.0,0.99,0.5154515616775859,0.643718465759561,0.0,0.99,0.4718420203934857,0.88,0.0,0.99,0.5344395138469535,0.88,0.0,0.99,0.4525126136961756,0.22240813491379288,0.0,0.99,0.5525126136961757,0.22240813491379288,0.0,0.99
32,0.4550766580033884,0.4524227543516633,0.0,0.99,0.5550766580033885,0.4524227543516633,0.0,0.99,0.5159965540440492,0.6398466839932232,0.0,0.99,0.4941567619627276,0.6398466839932232,0.0,0.99,0.4987654724161731,0.88,0.0,0.99,0.5113878435906037,0.88,0.0,0.99,0.45406132640271074,0.22145365261099795,0.0,0.99,0.5540613264027108,0.22145365261099795,0.0,0.99
33,0.4567831183626962,0.4503989305277654,0.0,0.99,0.5567831183626962,0.4503989305277654,0.0,0.99,0.5381805387150501,0.6364337632746077,0.0,0.99,0.4753856980103425,0.6364337632746078,0.0,0.99,0.5234850556977888,0.88,0.0,0.99,0.49008118102760384,0.88,0.0,0.99,0.45542649469015695,0.22023935831665925,0.0,0.99,0.5554264946901569,0.22023935831665925,0.0,0.99
34,0.4581830277590817,0.44830380566940986,0.0,0.99,0.5581830277590817,0.44830380566940986,0.0,0.99,0.556379360868062,0.6336339444818366,0.0,0.99,0.4599866946501014,0.6336339444818366,0.0,0.99,0.5448836126637738,0.88,0.0,0.99,0.4714824428543895,0.88,0.0,0.99,0.4565464222072654,0.2189822834016459,0.0,0.99,0.5565464222072654,0.2189822834016459,0.0,0.99
35,0.45921311977870416,0.4465118423943251,0.0,0.99,0.5592131197787041,0.4465118423943251,0.0,0.99,0.5697705571231537,0.6315737604425917,0.0,0.99,0.4486556824342547,0.6315737604425917,0.0,0.99,0.5619940736136873,0.88,0.0,0.99,0.45643216594372116,0.88,0.0,0.99,0.4573704958229633,0.21790710543659506,0.0,0.99,0.5573704958229634,0.21790710543659506,0.0,0.99
36,0.4598268412459252,0.44534331911273833,0.0,0.99,0.5598268412459253,0.44534331911273833,0.0,0.99,0.5777489361970277,0.6303463175081496,0.0,0.99,0.4419047462948228,0.6303463175081496,0.0,0.99,0.5740431617152855,0.88,0.0,0.99,0.4456105207765651,0.88,0.0,0.99,0.4578614729967402,0.217205991467643,0.0,0.99,0.5578614729967402,0.217205991467643,0.0,0.99
37,0.4599964561112345,0.4450070865216162,0.0,0.99,0.5599964561112346,0.4450070865216162,0.0,0.99,0.5799539294460488,0.630007087777531,0.0,0.99,0.4400389827764203,0.630007087777531,0.0,0.99,0.5804863398748044,0.88,0.0,0.99,0.4395065723476648,0.88,0.0,0.99,0.4579971648889876,0.2170042519129697,0.0,0.99,0.5579971648889877,0.2170042519129697,0.0,0.99
38,0.4597142989326471,0.44556323962471717,0.0,0.99,0.5597142989326471,0.44556323962471717,0.0,0.99,0.5762858861244122,0.6305714021347059,0.0,0.99,0.44314271174088193,0.6305714021347059,0.0,0.99,0.5810324201218345,0.88,0.0,0.99,0.4383961777434596,0.88,0.0,0.99,0.4577714391461177,0.2173379437748303,0.0,0.99,0.5577714391461177,0.2173379437748303,0.0,0.99
39,0.4589931213017122,0.44691237692526903,0.0,0.99,0.5589931213017122,0.44691237692526903,0.0,0.99,0.5669105769222585,0.6320137573965756,0.0,0.99,0.45107566568116586,0.6320137573965756,0.0,0.99,0.5756567233314357,0.88,0.0,0.99,0.44232951927198877,0.88,0.0,0.99,0.4571944970413698,0.21814742615516142,0.0,0.99,0.5571944970413698,0.21814742615516142,0.0,0.99
40,0.45786551555802646,0.4488133665006444,0.0,0.99,0.5578655155580264,0.4488133665006444,0.0,0.99,0.5522517022543436,0.6342689688839471,0.0,0.99,0.4634793288617093,0.6342689688839471,0.0,0.99,0.5646021945532674,0.88,0.0,0.99,0.45112883656278546,0.88,0.0,0.99,0.45629241244642116,0.21928801990038665,0.0,0.99,0.5562924124464211,0.21928801990038665,0.0,0.99
41,0.4563824418364482,0.4509264436204356,0.0,0.99,0.5563824418364482,0.4509264436204356,0.0,0.99,0.5329717438738266,0.6372351163271036,0.0,0.99,0.4797931397990698,0.6372351163271036,0.0,0.99,0.5483684235424248,0.88,0.0,0.99,0.46439646013047164,0.88,0.0,0.99,0.45510595346915855,0.22055586617226133,0.0,0.99,0.5551059534691586,0.22055586617226133,0.0,0.99
42,0.4546109250144933,0.45287393705107204,0.0,0.99,0.5546109250144933,0.45287393705107204,0.0,0.99,0.5099420251884125,0.6407781499710135,0.0,0.99,0.4992798248405741,0.6407781499710135,0.0,0.99,0.5276890666895439,0.88,0.0,0.99,0.48153278333944266,0.88,0.0,0.99,0.45368874001159465,0.2217243622306432,0.0,0.99,0.5536887400115946,0.2217243622306432,0.0,0.99
43,0.45263102564227525,0.454307770406969,0.0,0.99,0.5526310256422753,0.454307770406969,0.0,0.99,0.4842033333495779,0.6447379487154495,0.0,0.99,0.5210587179349726,0.6447379487154495,0.0,0.99,0.5034986907258682,0.88,0.0,0.99,0.5017633605586823,0.88,0.0,0.99,0.45210482051382017,0.2225846622441814,0.0,0.99,0.5521048205138203,0.2225846622441814,0.0,0.99
44,0.4505322217484218,0.4549716740010507,0.0,0.99,0.5505322217484219,0.4549716740010507,0.0,0.99,0.45691888272948333,0.6489355565031565,0.0,0.99,0.5441455607673603,0.6489355565031565,0.0,0.99,0.47689053664301856,0.88,0.0,0.99,0.524173906853825,0.88,0.0,0.99,0.45042577739873746,0.2229830044006304,0.0,0.99,0.5504257773987374,0.2229830044006304,0.0,0.99
45,0.4484093650398093,0.4547469880423419,0.0,0.99,0.5484093650398093,0.4547469880423419,0.0,0.99,0.4293217455175208,0.6468187300796187,0.0,0.99,0.5674969845620979,0.6468187300796187,0.0,0.99,0.44906711261194765,0.88,0.0,0.99,0.547751617467671,0.88,0.0,0.99,0.4487274920318474,0.22284819282540513,0.0,0.99,0.5487274920318475,0.22284819282540513,0.0,0.99
46,0.4463583942474718,0.45367387075431537,0.0,0.99,0.5463583942474718,0.45367387075431537,0.0,0.99,0.40265912521713326,0.6427167884949436,0.0,0.99,0.5900576632778103,0.6427167884949436,0.0,0.99,0.42128584876618,0.88,0.0,0.99,0.5714309397287635,0.88,0.0,0.99,0.44708671539797745,0.2222043224525892,0.0,0.99,0.5470867153979775,0.2222043224525892,0.0,0.99
47,0.4444719993463881,0.45194412087736663,0.0,0.99,0.5444719993463881,0.45194412087736663,0.0,0.99,0.378135991503045,0.6389439986927762,0.0,0.99,0.6108080071897313,0.6389439986927762,0.0,0.99,0.3948022698846953,0.88,0.0,0.99,0.5941417288080809,0.88,0.0,0.99,0.44557759947711045,0.22116647252641997,0.0,0.99,0.5455775994771105,0.22116647252641997,0.0,0.99
48,0.44283543259701685,0.44986689739281116,0.0,0.99,0.5428354325970169,0.44986689739281116,0.0,0.99,0.35686062376121913,0.6356708651940337,0.0,0.99,0.6288102414328146,0.6356708651940337,0.0,0.99,0.37081325418391886,0.88,0.0,0.99,0.6148576110101149,0.88,0.0,0.99,0.4442683460776135,0.2199201384356867,0.0,0.99,0.5442683460776135,0.2199201384356867,0.0,0.99
49,0.44152265572110333,0.4478134633977057,0.0,0.99,0.5415226557211034,0.4478134633977057,0.0,0.99,0.3397945243743429,0.6330453114422067,0.0,0.99,0.6432507870678638,0.6330453114422067,0.0,0.99,0.35040294253673776,0.88,0.0,0.99,0.6326423689054689,0.88,0.0,0.99,0.44321812457688264,0.21868807803862345,0.0,0.99,0.5432181245768827,0.21868807803862345,0.0,0.99
50,0.44059299733328966,0.4461508300828505,0.0,0.99,0.5405929973332897,0.4461508300828505,0.0,0.99,0.3277089653327657,0.6311859946665793,0.0,0.99,0.6534770293338137,0.6311859946665793,0.0,0.99,0.3344937426551264,0.88,0.0,0.99,0.6466922520114531,0.88,0.0,0.99,0.44247439786663173,0.2176904980497103,0.0,0.99,0.5424743978666318,0.2176904980497103,0.0,0.99
51,0.44008847168995996,0.4451761606559274,0.0,0.99,0.54008847168996,0.4451761606559274,0.0,0.99,0.3211501319694791,0.6301769433799199,0.0,0.99,0.6590268114104408,0.6301769433799199,0.0,0.99,0.32380464251515356,0.88,0.0,0.99,0.6563723008647664,0.88,0.0,0.99,0.442070777351968,0.21710569639355645,0.0,0.99,0.542070777351968,0.21710569639355645,0.0,0.99
52,0.4400318799296925,0.44506365822639327,0.0,0.99,0.5400318799296926,0.44506365822639327,0.0,0.99,0.3204144390860025,0.630063759859385,0.0,0.99,0.6596493207733827,0.630063759859385,0.0,0.99,0.31881871697494085,0.88,0.0,0.99,0.6612450428844443,0.88,0.0,0.99,0.442025503943754,0.21703819493583595,0.0,0.99,0.542025503943754,0.21703819493583595,0.0,0.99
53,0.44042577961637996,0.44583343040458745,0.0,0.99,0.5404257796163799,0.44583343040458745,0.0,0.99,0.32553513501293924,0.6308515592327599,0.0,0.99,0.6553164242198206,0.6308515592327599,0.0,0.99,0.31976129606614684,0.88,0.0,0.99,0.661090263166613,0.88,0.0,0.99,0.44234062369310395,0.21750005824275245,0.0,0.99,0.542340623693104,0.21750005824275245,0.0,0.99
54,0.4412523691546804,0.4473478954594013,0.0,0.99,0.5412523691546804,0.4473478954594013,0.0,0.99,0.33628079901084507,0.6325047383093608,0.0,0.99,0.6462239392985158,0.6325047383093608,0.0,0.99,0.32658978160419205,0.88,0.0,0.99,0.6559149567051689,0.88,0.0,0.99,0.44300189532374434,0.21840873727564078,0.0,0.99,0.5430018953237443,0.21840873727564078,0.0,0.99
55,0.44247429230143864,0.4493363723635814,0.0,0.99,0.5424742923014386,0.4493363723635814,0.0,0.99,0.352165799918702,0.6349485846028773,0.0,0.99,0.6327827846841753,0.6349485846028773,0.0,0.99,0.33899557233740124,0.88,0.0,0.99,0.6459530122654761,0.88,0.0,0.99,0.4439794338411509,0.21960182341814882,0.0,0.99,0.5439794338411509,0.21960182341814882,0.0,0.99
56,0.444036326414615,0.45144345973669814,0.0,0.99,0.5440363264146151,0.45144345973669814,0.0,0.99,0.3724722433899948,0.63807265282923,0.0,0.99,0.6156004094392353,0.63807265282923,0.0,0.99,0.3564180106313755,0.88,0.0,0.99,0.6316546421978546,0.88,0.0,0.99,0.44522906113169197,0.22086607584201887,0.0,0.99,0.545229061131692,0.22086607584201887,0.0,0.99
57,0.4458678781423162,0.4532925568953252,0.0,0.99,0.5458678781423163,0.4532925568953252,0.0,0.99,0.3962824158501108,0.6417357562846324,0.0,0.99,0.5954533404345217,0.6417357562846324,0.0,0.99,0.37806972039301256,0.88,0.0,0.99,0.6136660358916199,0.88,0.0,0.99,0.446694302513853,0.22197553413719512,0.0,0.99,0.546694302513853,0.22197553413719512,0.0,0.99
58,0.44788617376370377,0.4545531738642746,0.0,0.99,0.5478861737637037,0.4545531738642746,0.0,0.99,0.4225202589281488,0.6457723475274075,0.0,0.99,0.5732520885992587,0.6457723475274075,0.0,0.99,0.4029721911317915,0.88,0.0,0.99,0.592800156395616,0.88,0.0,0.99,0.448308939010963,0.22273190431856474,0.0,0.99,0.548308939010963,0.22273190431856474,0.0,0.99
59,0.45,0.455,0.0,0.99,0.55,0.455,0.0,0.99,0.44999999999999996,0.65,0.0,0.99,0.5500000000000002,0.65,0.0,0.99,0.42999999999999994,0.88,0.0,0.99,0.5700000000000002,0.88,0.0,0.99,0.45,0.223,0.0,0.99,0.55,0.223,0.0,0.99
